-4.97 	-8.10 	1
-4.79 	-8.10 	1
-5.04 	-8.22 	1
-5.00 	-7.92 	1
-5.79 	-6.52 	1
-6.05 	-6.24 	1
-4.82 	-7.97 	1
-5.25 	-7.70 	1
-5.65 	-7.40 	1
-4.85 	-8.16 	1
-5.05 	-8.11 	1
-4.91 	-7.91 	1
-4.96 	-7.74 	1
-5.91 	-6.54 	1
-5.88 	-6.64 	1
-5.13 	-8.13 	1
-4.57 	-7.32 	1
-4.80 	-7.72 	1
-5.64 	-7.39 	1
-4.83 	-7.64 	1
-5.03 	-7.84 	1
-4.93 	-8.11 	1
-5.08 	-6.48 	1
-5.52 	-7.60 	1
-5.53 	-7.55 	1
-5.35 	-7.73 	1
-5.23 	-7.53 	1
-1.69 	9.04 	2
-4.58 	-7.67 	1
-1.65 	8.55 	2
-4.44 	-7.44 	1
-4.82 	-8.09 	1
-4.78 	-8.01 	1
-5.37 	-7.62 	1
-5.25 	-6.69 	1
-5.48 	-7.23 	1
-4.86 	-7.34 	1
-5.68 	-6.77 	1
-1.71 	8.49 	2
-5.05 	-7.72 	1
-6.50 	-5.17 	1
-4.49 	-7.24 	1
-4.86 	-8.09 	1
-5.36 	-7.11 	1
-4.63 	-7.33 	1
-6.10 	-6.25 	1
-5.49 	-5.57 	1
1.08 	13.43 	3
-5.00 	-6.04 	1
-4.59 	-7.48 	1
-5.91 	-6.55 	1
-4.56 	-6.41 	1
-5.12 	-5.79 	1
-5.68 	-4.96 	1
-5.14 	-6.51 	1
1.16 	-2.80 	3
-4.60 	-6.06 	1
-4.48 	-7.58 	1
-6.03 	-6.50 	1
-4.46 	-7.47 	1
-5.72 	-6.23 	1
-4.53 	-7.88 	1
-4.41 	-7.35 	1
-12.27 	5.74 	4
1.09 	9.14 	3
-4.48 	-6.32 	1
-5.05 	-7.43 	1
-3.73 	5.81 	3
-4.96 	-6.22 	1
-4.74 	-8.02 	1
-1.68 	10.46 	5
-5.16 	-5.99 	1
-6.00 	-6.10 	1
-4.64 	-7.95 	1
-1.38 	8.79 	2
-6.08 	-5.51 	1
-5.23 	-7.17 	1
-4.48 	-7.40 	1
-4.27 	-6.85 	1
-4.87 	-7.50 	1
-3.12 	2.85 	3
-5.35 	-6.23 	1
-1.56 	0.25 	3
-4.57 	-7.68 	1
-6.49 	-5.14 	1
-5.80 	-6.21 	1
-5.89 	-6.47 	1
-0.78 	10.48 	6
-4.54 	-7.26 	1
-4.72 	-7.39 	1
-1.83 	8.45 	2
-5.69 	-6.60 	1
-5.08 	-6.55 	1
-4.59 	-6.71 	1
-5.54 	-5.45 	1
-6.27 	-5.96 	1
-5.98 	-6.23 	1
-4.71 	-5.87 	1
-12.34 	6.23 	4
-10.32 	5.73 	4
-5.65 	-5.65 	1
0.82 	-2.38 	3
-3.20 	2.53 	3
-2.14 	8.77 	2
-6.03 	-5.71 	1
-2.08 	9.32 	2
-5.21 	-6.86 	1
-4.86 	-7.45 	1
-4.36 	-7.09 	1
-1.94 	8.73 	2
1.12 	-2.76 	3
-5.53 	-6.67 	1
-4.57 	-7.31 	1
-1.93 	8.75 	2
-0.16 	-1.13 	3
-6.01 	-5.65 	1
-6.30 	-5.87 	1
-0.13 	-1.17 	3
-5.56 	-5.87 	1
-5.54 	-5.43 	1
-6.64 	-4.30 	1
