,UMAP_1,UMAP_2,labels
mouse1_lib1.final_cell_0001,-3.327729112,-9.303807638,beta
mouse1_lib1.final_cell_0002,9.388186091,11.40514241,ductal
mouse1_lib1.final_cell_0003,-4.740227586,11.63570175,delta
mouse1_lib1.final_cell_0004,10.88114702,-1.193421326,schwann
mouse1_lib1.final_cell_0005,-4.90450657,11.57462845,delta
mouse1_lib1.final_cell_0006,-2.887579805,-9.367253682,beta
mouse1_lib1.final_cell_0007,-3.61944378,-8.986478231,beta
mouse1_lib1.final_cell_0008,-3.117862111,-9.062459371,beta
mouse1_lib1.final_cell_0009,-4.076046354,-8.118480584,beta
mouse1_lib1.final_cell_0010,9.1824938,9.753144839,ductal
mouse1_lib1.final_cell_0011,8.5986067,8.966377833,ductal
mouse1_lib1.final_cell_0012,-1.042274124,-8.974027059,beta
mouse1_lib1.final_cell_0013,-4.803078061,-9.106778524,beta
mouse1_lib1.final_cell_0014,-5.11953581,11.49334202,delta
mouse1_lib1.final_cell_0015,-1.913038856,-6.338469407,beta
mouse1_lib1.final_cell_0016,8.041131133,9.312873461,ductal
mouse1_lib1.final_cell_0017,-2.426310903,-6.775124929,beta
mouse1_lib1.final_cell_0018,10.61357939,-1.702141187,quiescent_stellate
mouse1_lib1.final_cell_0019,8.162742251,8.731113055,ductal
mouse1_lib1.final_cell_0020,8.913966292,10.62610016,ductal
mouse1_lib1.final_cell_0021,-2.566818601,-8.093915365,beta
mouse1_lib1.final_cell_0022,-3.08858574,-9.290307424,beta
mouse1_lib1.final_cell_0023,-2.718663579,-7.268349073,beta
mouse1_lib1.final_cell_0024,-5.100547201,11.37358341,delta
mouse1_lib1.final_cell_0025,10.32633745,-1.872043273,quiescent_stellate
mouse1_lib1.final_cell_0026,13.40941584,-4.879015348,endothelial
mouse1_lib1.final_cell_0027,9.167398089,10.91541062,ductal
mouse1_lib1.final_cell_0028,9.543374652,10.1363884,ductal
mouse1_lib1.final_cell_0029,-2.572322494,-6.942716024,beta
mouse1_lib1.final_cell_0030,8.316712016,9.544661143,ductal
mouse1_lib1.final_cell_0031,7.903933161,8.583782771,ductal
mouse1_lib1.final_cell_0032,9.170543784,11.05045471,ductal
mouse1_lib1.final_cell_0033,-9.434393293,8.825381854,gamma
mouse1_lib1.final_cell_0034,0.128283137,-8.237848184,beta
mouse1_lib1.final_cell_0035,0.805972808,-9.231372259,beta
mouse1_lib1.final_cell_0036,9.267677897,10.27499638,ductal
mouse1_lib1.final_cell_0037,8.21862089,8.884142497,ductal
mouse1_lib1.final_cell_0038,7.83669197,9.135478594,ductal
mouse1_lib1.final_cell_0039,-3.830945379,11.45744763,delta
mouse1_lib1.final_cell_0040,-2.371192819,-6.969029329,beta
mouse1_lib1.final_cell_0041,-2.519475824,-8.2545804,beta
mouse1_lib1.final_cell_0042,8.85371601,11.219977,ductal
mouse1_lib1.final_cell_0043,-5.261406785,11.41414795,delta
mouse1_lib1.final_cell_0044,13.58914434,-5.264620206,endothelial
mouse1_lib1.final_cell_0045,-2.889063245,-7.264768026,beta
mouse1_lib1.final_cell_0046,-0.992041952,-8.164696596,beta
mouse1_lib1.final_cell_0047,0.314484173,-6.848026655,alpha
mouse1_lib1.final_cell_0048,7.708145255,8.829583743,ductal
mouse1_lib1.final_cell_0049,-0.069906837,-8.830316923,beta
mouse1_lib1.final_cell_0050,8.846550101,9.292465785,ductal
mouse1_lib1.final_cell_0051,-9.309000379,8.832304576,gamma
mouse1_lib1.final_cell_0052,-0.292570716,-8.31292238,beta
mouse1_lib1.final_cell_0053,7.65254938,8.386155703,ductal
mouse1_lib1.final_cell_0054,8.505958193,8.960763552,ductal
mouse1_lib1.final_cell_0055,7.683824652,8.635106661,ductal
mouse1_lib1.final_cell_0056,-0.415287143,-7.549209974,beta
mouse1_lib1.final_cell_0057,9.803719157,9.978787997,ductal
mouse1_lib1.final_cell_0058,13.1294676,-4.653255842,endothelial
mouse1_lib1.final_cell_0059,8.91830408,11.87708817,ductal
mouse1_lib1.final_cell_0060,-0.651651746,-7.699557207,beta
mouse1_lib1.final_cell_0061,-2.338584787,-8.259375474,beta
mouse1_lib1.final_cell_0062,8.4259597,9.043294528,ductal
mouse1_lib1.final_cell_0063,8.826988333,11.67267761,ductal
mouse1_lib1.final_cell_0064,13.27526056,-5.312925718,endothelial
mouse1_lib1.final_cell_0065,0.34094947,-9.141349218,beta
mouse1_lib1.final_cell_0066,-0.743162996,-8.938588521,beta
mouse1_lib1.final_cell_0067,9.811734789,9.820405581,ductal
mouse1_lib1.final_cell_0068,0.630812281,-9.377073667,beta
mouse1_lib1.final_cell_0069,13.39344751,-4.90268173,endothelial
mouse1_lib1.final_cell_0070,8.614676589,11.92702828,ductal
mouse1_lib1.final_cell_0071,-2.385176784,-6.716153047,beta
mouse1_lib1.final_cell_0072,-2.443907148,-7.965234182,beta
mouse1_lib1.final_cell_0073,13.57660829,-5.243357561,endothelial
mouse1_lib1.final_cell_0074,0.6304717,-7.528209588,beta
mouse1_lib1.final_cell_0075,-0.497312671,-8.579203031,beta
mouse1_lib1.final_cell_0076,7.852971667,9.303791621,ductal
mouse1_lib1.final_cell_0077,-0.059915906,-8.34864845,beta
mouse1_lib1.final_cell_0078,8.504293078,9.172936061,ductal
mouse1_lib1.final_cell_0079,10.49965536,-2.026501677,quiescent_stellate
mouse1_lib1.final_cell_0080,-0.771682149,-7.63827791,beta
mouse1_lib1.final_cell_0081,7.850601309,8.599355319,ductal
mouse1_lib1.final_cell_0082,9.723126048,9.753899195,ductal
mouse1_lib1.final_cell_0083,-5.139773733,11.24158345,delta
mouse1_lib1.final_cell_0084,-10.99207819,8.335502246,alpha
mouse1_lib1.final_cell_0085,7.842808837,9.291455844,ductal
mouse1_lib1.final_cell_0086,-2.999249345,-6.624899766,beta
mouse1_lib1.final_cell_0087,9.884254092,9.668490031,ductal
mouse1_lib1.final_cell_0088,9.867423648,9.855308154,ductal
mouse1_lib1.final_cell_0089,0.663116091,-8.934997938,beta
mouse1_lib1.final_cell_0090,8.925434703,11.13135205,ductal
mouse1_lib1.final_cell_0091,-4.886197931,11.55101357,delta
mouse1_lib1.final_cell_0092,13.23726618,-4.997829816,endothelial
mouse1_lib1.final_cell_0093,0.569318706,-8.718247793,beta
mouse1_lib1.final_cell_0094,-2.413865453,-7.759884736,beta
mouse1_lib1.final_cell_0095,8.685344809,11.25330506,ductal
mouse1_lib1.final_cell_0096,-5.447645551,11.09944306,delta
mouse1_lib1.final_cell_0097,-0.016150719,-8.856309316,beta
mouse1_lib1.final_cell_0098,8.656424159,11.99496041,ductal
mouse1_lib1.final_cell_0099,8.475416297,9.204861262,ductal
mouse1_lib1.final_cell_0100,13.84518206,-4.10249438,endothelial
mouse1_lib1.final_cell_0101,-0.168657309,-8.556347749,beta
mouse1_lib1.final_cell_0102,13.12391626,-4.970735452,endothelial
mouse1_lib1.final_cell_0103,1.010673115,-7.858139417,beta
mouse1_lib1.final_cell_0104,7.874210948,8.663183787,ductal
mouse1_lib1.final_cell_0105,10.40748274,-1.913115404,quiescent_stellate
mouse1_lib1.final_cell_0106,-0.697611696,-7.915916345,beta
mouse1_lib1.final_cell_0107,10.5955187,-2.28809335,quiescent_stellate
mouse1_lib1.final_cell_0108,0.339857393,-8.186336896,beta
mouse1_lib1.final_cell_0109,-0.006441242,-9.052574537,beta
mouse1_lib1.final_cell_0110,10.43032705,-1.686287067,quiescent_stellate
mouse1_lib1.final_cell_0111,-4.467615968,11.55908928,delta
mouse1_lib1.final_cell_0112,14.73567163,3.105627635,macrophage
mouse1_lib1.final_cell_0113,-2.530760175,-6.872100255,beta
mouse1_lib1.final_cell_0114,0.002361053,-8.025471589,beta
mouse1_lib1.final_cell_0115,13.36683332,-5.913967988,endothelial
mouse1_lib1.final_cell_0116,14.85250913,3.032539942,macrophage
mouse1_lib1.final_cell_0117,0.794372463,-7.760846994,beta
mouse1_lib1.final_cell_0118,0.157500619,-8.127359769,beta
mouse1_lib1.final_cell_0119,-2.943490869,-8.742404363,beta
mouse1_lib1.final_cell_0120,13.08464681,-4.60736551,endothelial
mouse1_lib1.final_cell_0121,-2.333265907,-7.720073125,beta
mouse1_lib1.final_cell_0122,-5.407712346,11.00242291,delta
mouse1_lib1.final_cell_0123,-2.414694673,-7.390156648,beta
mouse1_lib1.final_cell_0124,14.89732611,3.248316863,macrophage
mouse1_lib1.final_cell_0125,-0.201761013,-8.696458242,beta
mouse1_lib1.final_cell_0126,10.3189274,-2.037476799,quiescent_stellate
mouse1_lib1.final_cell_0127,9.777916545,9.684741595,ductal
mouse1_lib1.final_cell_0128,0.953249001,-8.716250799,beta
mouse1_lib1.final_cell_0129,-0.629123217,-7.339321515,beta
mouse1_lib1.final_cell_0130,-0.128051883,-8.253802678,beta
mouse1_lib1.final_cell_0131,0.48575049,-6.49659147,beta
mouse1_lib1.final_cell_0132,0.880262726,-8.735531232,beta
mouse1_lib1.final_cell_0133,7.889148825,8.796745875,ductal
mouse1_lib1.final_cell_0134,-2.650870687,-7.281544111,beta
mouse1_lib1.final_cell_0135,9.227973574,11.71870575,ductal
mouse1_lib1.final_cell_0136,-5.760452634,10.32431565,delta
mouse1_lib1.final_cell_0137,-2.38266719,-7.107629678,beta
mouse1_lib1.final_cell_0138,1.043121004,-8.078505895,beta
mouse1_lib1.final_cell_0139,8.868149871,9.868453601,alpha
mouse1_lib1.final_cell_0140,8.63435089,11.70871697,ductal
mouse1_lib1.final_cell_0141,0.863996917,-8.685308835,beta
mouse1_lib1.final_cell_0142,-0.169274813,-8.647913358,beta
